# lon1 lat1 z1 lon2 lat2 z2 lon3 lat3 z3 slip_m rake_deg time_s
179.185218 -36.116749 -45075.580000 179.146806 -36.044521 -49862.460000 179.088682 -36.120759 -49897.130000 0.000000 0.000000 0.000000
178.280895 -37.144283 -45358.430000 178.252693 -37.068394 -49998.480000 178.181922 -37.137787 -49928.050000 0.000000 0.000000 0.000000
178.867882 -36.491899 -45297.130000 178.837487 -36.415208 -49718.790000 178.768903 -36.485679 -49775.980000 0.000000 0.000000 0.000000
176.940850 -41.569630 -4755.240000 176.846747 -41.516352 -6275.374000 176.830984 -41.604388 -5005.062000 6.831581 96.790577 10.276192
179.242254 -36.037833 -44996.910000 179.199996 -35.966427 -49552.360000 179.146806 -36.044521 -49862.460000 0.000000 0.000000 0.000000
179.127839 -36.193482 -45210.310000 179.088682 -36.120759 -49897.130000 179.030442 -36.196999 -49939.540000 0.000000 0.000000 0.000000
177.244000 -38.308051 -44727.830000 177.217374 -38.235023 -50000.000000 177.148439 -38.306054 -50000.000000 0.000000 0.000000 0.000000
176.742910 -41.545069 -6554.463000 176.716978 -41.632072 -5241.345000 176.830984 -41.604388 -5005.062000 7.127311 102.767214 10.366249
177.049462 -41.437200 -5489.694000 176.944822 -41.480454 -5973.239000 177.045759 -41.526477 -4353.727000 8.295523 83.072630 8.497589
177.258012 -41.350985 -4602.033000 177.154136 -41.393832 -4971.792000 177.255083 -41.439914 -3443.208000 9.864769 87.889926 3.418625
178.798810 -36.562206 -45345.610000 178.768903 -36.485679 -49775.980000 178.700144 -36.556160 -49815.500000 0.000000 0.000000 0.000000
177.350208 -41.308397 -4376.918000 177.359533 -41.396503 -2987.947000 177.456737 -41.345445 -3033.456000 7.155916 99.227914 5.941887
177.519447 -41.198037 -4897.545000 177.432370 -41.258255 -4595.210000 177.544672 -41.284815 -3362.886000 8.458095 104.148867 7.107792
178.139813 -37.282614 -45222.740000 178.111314 -37.207268 -50000.000000 178.039978 -37.276491 -49739.680000 0.000000 0.000000 0.000000
177.382222 -38.169359 -44813.550000 177.358966 -38.095401 -50000.000000 177.285980 -38.163713 -50000.000000 0.000000 0.000000 0.000000
177.806773 -41.101986 -3886.545000 177.691515 -41.078799 -5144.888000 177.720083 -41.163329 -3898.441000 5.410528 95.316520 11.627056
177.607181 -41.137189 -5079.471000 177.632454 -41.224106 -3667.340000 177.720083 -41.163329 -3898.441000 3.981000 104.532513 11.879749
178.730195 -36.632483 -45319.990000 178.700144 -36.556160 -49815.500000 178.631253 -36.626638 -49772.580000 0.000000 0.000000 0.000000
176.979284 -38.600849 -44639.950000 176.955625 -38.528091 -50000.000000 176.883527 -38.597325 -50000.000000 0.000000 0.000000 0.000000
177.941690 -40.797382 -4273.016000 177.880740 -40.870680 -4724.532000 177.997788 -40.874677 -3303.365000 0.000000 0.000000 0.000000
177.176711 -38.378292 -44591.160000 177.148439 -38.306054 -50000.000000 177.081169 -38.378474 -50000.000000 0.000000 0.000000 0.000000
178.026510 -40.644908 -3859.511000 177.986186 -40.727468 -3967.963000 178.100462 -40.713999 -2657.531000 0.000000 0.000000 0.000000
177.720685 -37.797590 -45095.290000 177.676258 -37.726653 -49748.150000 177.622669 -37.805709 -49953.610000 0.000000 0.000000 0.000000
178.108756 -40.476590 -3658.139000 177.993603 -40.491540 -4811.393000 178.067622 -40.560689 -3696.110000 0.000000 0.000000 0.000000
178.149657 -40.392345 -3574.844000 178.108756 -40.476590 -3658.139000 178.223800 -40.461377 -2474.496000 0.000000 0.000000 0.000000
178.066589 -37.352332 -44997.460000 178.039978 -37.276491 -49739.680000 177.969838 -37.346289 -50000.000000 0.000000 0.000000 0.000000
178.522687 -39.822300 -4222.744000 178.583585 -39.898174 -3040.519000 178.639070 -39.819268 -3242.687000 0.000000 0.000000 0.000000
178.646619 -39.579324 -4500.710000 178.722169 -39.651503 -3551.569000 178.763593 -39.567603 -3545.128000 0.000000 0.000000 0.000000
178.683130 -39.509914 -4424.639000 178.763593 -39.567603 -3545.128000 178.792828 -39.482626 -3584.125000 0.000000 0.000000 0.000000
178.607863 -39.665090 -4462.498000 178.680665 -39.735385 -3395.957000 178.722169 -39.651503 -3551.569000 0.000000 0.000000 0.000000
178.661464 -39.249956 -4695.699000 178.670658 -39.352312 -4607.344000 178.761580 -39.304668 -3825.580000 0.000000 0.000000 0.000000
178.661491 -36.703781 -45419.160000 178.631253 -36.626638 -49772.580000 178.562239 -36.697078 -49937.170000 0.000000 0.000000 0.000000
178.815351 -38.983748 -3787.729000 178.877213 -39.058987 -3156.884000 178.928990 -38.978819 -2857.498000 0.000000 0.000000 0.000000
178.854601 -38.909190 -3716.788000 178.928990 -38.978819 -2857.498000 178.967083 -38.894996 -2904.074000 0.000000 0.000000 0.000000
